benchmark,pre-rel,pre-abs,pre-rel-factor,pre-abs-factor,gappa-abs,gappa-rel,fptaylor-abs,fptaylor-rel,satire-abs-noAbs,satire-abs-10_20,satire-abs-15_25,satire-abs-20_40
add-assoc,6.661e-16,2.665e-12,4.441e-16,1.776e-12,1.364e-12,6.661e-16,9.095e-13,2.22e-15,,,,
delta4,,1.144e-12,,5.004e-13,2.123e-13,,1.154e-13,,,,,
himmilbeau,,1.615e-11,,8.615e-12,2e-12,,1.18e-12,,,,,
kepler0,,9.534e-13,,6.81e-13,1.982e-13,,1.171e-13,2.434e-15,,,,
kepler1,,5.944e-12,,2.843e-12,7.456e-13,,3.918e-13,7.654e-15,,,,
large/horner/Horner,,,,,,,,,,,,
large/horner/Horner10,,2.442e-14,,,,,1.132e-14,,,,,
large/horner/Horner100,,2.243e-12,,,,,8.427e-13,,,,,
large/horner/Horner1000,,,,,,,,,,,,
large/horner/Horner1024,,,,,,,,,,,,
large/horner/Horner1100,,,,,,,,,,,,
large/horner/Horner1200,,,,,,,,,,,,
large/horner/Horner128,,,,,,,,,,,,
large/horner/Horner1300,,,,,,,,,,,,
large/horner/Horner1400,,,,,,,,,,,,
large/horner/Horner150,,,,,,,,,,,,
large/horner/Horner1500,,,,,,,,,,,,
large/horner/Horner16,,6.04e-14,,6.04e-14,,,2.554e-14,,4.896e-14,4.896e-14,4.896e-14,4.896e-14
large/horner/Horner1600,,,,,,,,,,,,
large/horner/Horner1700,,,,,,,,,,,,
large/horner/Horner1800,,,,,,,,,,,,
large/horner/Horner1900,,,,,,,,,,,,
large/horner/Horner20,,9.326e-14,,,,,3.975e-14,,,,,
large/horner/Horner200,,,,,,,,,,,,
large/horner/Horner2000,,,,,,,,,,,,
large/horner/Horner2048,,,,,,,,,,,,
large/horner/Horner256,,,,,,,,,,,,
large/horner/Horner300,,,,,,,,,,,,
large/horner/Horner32,,,,,,,,,,,,
large/horner/Horner4,,4.441e-15,,4.441e-15,,,2.442e-15,,4.33e-15,4.33e-15,4.33e-15,4.33e-15
large/horner/Horner400,,,,,,,,,,,,
large/horner/Horner5,,6.661e-15,,,,,3.331e-15,,,,,
large/horner/Horner50,,5.662e-13,,,,,2.174e-13,,,,,
large/horner/Horner500,,,,,,,,,,,,
large/horner/Horner512,,,,,,,,,,,,
large/horner/Horner600,,,,,,,,,,,,
large/horner/Horner64,,,,,,,,,,,,
large/horner/Horner700,,,,,,,,,,,,
large/horner/Horner8,,1.599e-14,,1.599e-14,,,7.772e-15,,1.388e-14,1.388e-14,1.388e-14,1.388e-14
large/horner/Horner800,,,,,,,,,,,,
large/horner/Horner900,,,,,,,,,,,,
large/matmul/matmul10,,,,,,,,,,,,
large/matmul/matmul100,,,,,,,,,,,,
large/matmul/matmul1000,,,,,,,,,,,,
large/matmul/matmul1024,,,,,,,,,,,,
large/matmul/matmul1100,,,,,,,,,,,,
large/matmul/matmul1200,,,,,,,,,,,,
large/matmul/matmul128,,,,,,,,,,,,
large/matmul/matmul1300,,,,,,,,,,,,
large/matmul/matmul1400,,,,,,,,,,,,
large/matmul/matmul1500,,,,,,,,,,,,
large/matmul/matmul16,1.11e-15,7.105e-14,1.11e-15,7.105e-14,,,,,8.127e-14,8.127e-14,8.127e-14,8.127e-14
large/matmul/matmul1600,,,,,,,,,,,,
large/matmul/matmul1700,,,,,,,,,,,,
large/matmul/matmul1800,,,,,,,,,,,,
large/matmul/matmul1900,,,,,,,,,,,,
large/matmul/matmul20,,,,,,,,,,,,
large/matmul/matmul200,,,,,,,,,,,,
large/matmul/matmul2000,,,,,,,,,,,,
large/matmul/matmul2048,,,,,,,,,,,,
large/matmul/matmul256,,,,,,,,,,,,
large/matmul/matmul300,,,,,,,,,,,,
large/matmul/matmul32,,,,,,,,,,,,
large/matmul/matmul4,6.661e-16,1.066e-14,6.661e-16,1.066e-14,,,2.22e-15,,9.326e-15,9.326e-15,9.326e-15,9.326e-15
large/matmul/matmul400,,,,,,,,,,,,
large/matmul/matmul5,,,,,,,,,,,,
large/matmul/matmul50,,,,,,,,,,,,
large/matmul/matmul500,,,,,,,,,,,,
large/matmul/matmul512,,,,,,,,,,,,
large/matmul/matmul600,,,,,,,,,,,,
large/matmul/matmul64,,,,,,,,,,,,
large/matmul/matmul700,,,,,,,,,,,,
large/matmul/matmul8,8.882e-16,2.842e-14,8.882e-16,2.842e-14,,,7.105e-15,,2.62e-14,2.62e-14,2.62e-14,2.62e-14
large/matmul/matmul800,,,,,,,,,,,,
large/matmul/matmul900,,,,,,,,,,,,
large/serialsum/serial_sum,,,,,,,,,,,,
large/serialsum/serial_sum_1024,,,,,,,,,,,,
large/serialsum/serial_sum_128,,,,,,,,,,,,
large/serialsum/serial_sum_16,,5.329e-14,,5.329e-14,,,2.198e-14,,1.676e-14,1.676e-14,1.676e-14,1.676e-14
large/serialsum/serial_sum_2048,,,,,,,,,,,,
large/serialsum/serial_sum_256,,,,,,,,,,,,
large/serialsum/serial_sum_32,,,,,,,,,,,,
large/serialsum/serial_sum_4,,2.665e-15,,2.665e-15,,,1.554e-15,,1.443e-15,1.443e-15,1.443e-15,1.443e-15
large/serialsum/serial_sum_512,,,,,,,,,,,,
large/serialsum/serial_sum_64,,,,,,,,,,,,
large/serialsum/serial_sum_8,,1.243e-14,,1.243e-14,,,5.995e-15,,4.774e-15,4.774e-15,4.774e-15,4.774e-15
matrixDeterminant,,2.265e-11,,6.661e-12,5.983e-12,,3.126e-12,,,,,
matrixDeterminant2,,2.265e-11,,6.661e-12,5.983e-12,,3.126e-12,,,,,
rigidBody1,,9.392e-13,,7.827e-13,5.009e-13,,4.263e-13,,,,,
rigidBody2,,1.826e-10,,9.13e-11,6.485e-11,,4.543e-11,,,,,
sineOrder3,,4.573e-15,,3.266e-15,1.274e-15,,9.2e-16,,,,,
sqroot,3.775e-15,4.857e-15,1.332e-15,1.735e-15,1.041e-15,1.202e-15,9.714e-16,8.883e-16,,,,
sum,,2.665e-14,,1.332e-14,6.661e-15,,4.441e-15,1.011e-15,,,,
test01_sum3,,1.431e-05,,7.153e-06,6.661e-15,,4.441e-15,1.011e-15,,,,
